Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Area harvested,2017,ha,39172,Im
Colombia,Area harvested,2016,ha,40057,
Colombia,Area harvested,2015,ha,36461,
Colombia,Area harvested,2014,ha,34513,
Colombia,Area harvested,2013,ha,32089,
Colombia,Area harvested,2012,ha,27705,
Colombia,Area harvested,2011,ha,24513,
Colombia,Area harvested,2010,ha,21592,
Colombia,Area harvested,2009,ha,19255,
Colombia,Area harvested,2008,ha,18470,
Colombia,Area harvested,2007,ha,18833,
Colombia,Area harvested,2006,ha,17641,
Colombia,Area harvested,2005,ha,16108,
Colombia,Area harvested,2004,ha,15967,
Colombia,Area harvested,2003,ha,15540,
Colombia,Area harvested,2002,ha,14042,
Colombia,Area harvested,2001,ha,13846,
Colombia,Area harvested,2000,ha,13204,
Colombia,Area harvested,1999,ha,12689,
Colombia,Area harvested,1998,ha,8000,F
Colombia,Area harvested,1997,ha,11000,F
Colombia,Area harvested,1996,ha,9500,F
Colombia,Area harvested,1995,ha,9792,Im
Colombia,Area harvested,1994,ha,8811,Im
Colombia,Area harvested,1993,ha,8000,F
Colombia,Area harvested,1992,ha,7950,F
Colombia,Area harvested,1991,ha,7930,
Colombia,Area harvested,1990,ha,7307,
Colombia,Area harvested,1989,ha,8000,F
Colombia,Area harvested,1988,ha,7500,F
Colombia,Area harvested,1987,ha,4900,F
Colombia,Area harvested,1986,ha,4500,F
Colombia,Area harvested,1985,ha,2800,F
Colombia,Area harvested,1984,ha,1773,
Colombia,Area harvested,1983,ha,1727,
Colombia,Area harvested,1982,ha,1647,
Colombia,Area harvested,1981,ha,1730,
Colombia,Area harvested,1980,ha,1570,
Colombia,Area harvested,1979,ha,1680,F
Colombia,Area harvested,1978,ha,1750,F
Colombia,Area harvested,1977,ha,1800,F
Colombia,Area harvested,1976,ha,1800,F
Colombia,Area harvested,1975,ha,1625,
Colombia,Area harvested,1974,ha,1600,F
Colombia,Area harvested,1973,ha,1580,F
Colombia,Area harvested,1972,ha,1580,F
Colombia,Area harvested,1971,ha,1560,F
Colombia,Area harvested,1970,ha,1560,F
Colombia,Area harvested,1969,ha,1550,F
Colombia,Area harvested,1968,ha,1550,F
Colombia,Area harvested,1967,ha,1530,F
Colombia,Area harvested,1966,ha,1530,F
Colombia,Area harvested,1965,ha,1500,F
Colombia,Area harvested,1964,ha,1480,F
Colombia,Area harvested,1963,ha,1480,F
Colombia,Area harvested,1962,ha,1450,F
Colombia,Area harvested,1961,ha,1400,F
Colombia,Yield,2017,hg/ha,80230,Fc
Colombia,Yield,2016,hg/ha,73493,Fc
Colombia,Yield,2015,hg/ha,84981,Fc
Colombia,Yield,2014,hg/ha,83660,Fc
Colombia,Yield,2013,hg/ha,91931,Fc
Colombia,Yield,2012,hg/ha,92180,Fc
Colombia,Yield,2011,hg/ha,87745,Fc
Colombia,Yield,2010,hg/ha,95148,Fc
Colombia,Yield,2009,hg/ha,98171,Fc
Colombia,Yield,2008,hg/ha,99604,Fc
Colombia,Yield,2007,hg/ha,103009,Fc
Colombia,Yield,2006,hg/ha,108673,Fc
Colombia,Yield,2005,hg/ha,106533,Fc
Colombia,Yield,2004,hg/ha,107086,Fc
Colombia,Yield,2003,hg/ha,105005,Fc
Colombia,Yield,2002,hg/ha,101624,Fc
Colombia,Yield,2001,hg/ha,98992,Fc
Colombia,Yield,2000,hg/ha,99715,Fc
Colombia,Yield,1999,hg/ha,124915,Fc
Colombia,Yield,1998,hg/ha,92500,Fc
Colombia,Yield,1997,hg/ha,114545,Fc
Colombia,Yield,1996,hg/ha,120000,Fc
Colombia,Yield,1995,hg/ha,102127,Fc
Colombia,Yield,1994,hg/ha,98652,Fc
Colombia,Yield,1993,hg/ha,92500,Fc
Colombia,Yield,1992,hg/ha,92849,Fc
Colombia,Yield,1991,hg/ha,90923,Fc
