Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Area harvested,2017,ha,26140,Im
Colombia,Area harvested,2016,ha,23422,
Colombia,Area harvested,2015,ha,19299,
Colombia,Area harvested,2014,ha,15121,
Colombia,Area harvested,2013,ha,14431,
Colombia,Area harvested,2012,ha,12868,
Colombia,Area harvested,2011,ha,12984,
Colombia,Area harvested,2010,ha,11307,
Colombia,Area harvested,2009,ha,7994,
Colombia,Area harvested,2008,ha,10686,
Colombia,Area harvested,2007,ha,10941,
Colombia,Area harvested,2006,ha,9927,
Colombia,Area harvested,2005,ha,9546,
Colombia,Area harvested,2004,ha,9618,
Colombia,Area harvested,2003,ha,9393,
Colombia,Area harvested,2002,ha,8575,
Colombia,Area harvested,2001,ha,7680,
Colombia,Area harvested,2000,ha,8464,
Colombia,Area harvested,1999,ha,9398,
Colombia,Area harvested,1998,ha,6162,
Colombia,Area harvested,1997,ha,5400,F
Colombia,Area harvested,1996,ha,5342,
Colombia,Area harvested,1995,ha,6500,
Colombia,Area harvested,1994,ha,7153,
Colombia,Area harvested,1993,ha,7259,
Colombia,Area harvested,1992,ha,6170,
Colombia,Area harvested,1991,ha,6027,
Colombia,Area harvested,1990,ha,7769,
Colombia,Area harvested,1989,ha,6700,F
Colombia,Area harvested,1988,ha,6000,F
Colombia,Area harvested,1987,ha,5500,F
Colombia,Area harvested,1986,ha,5300,F
Colombia,Area harvested,1985,ha,3800,F
Colombia,Area harvested,1984,ha,3800,F
Colombia,Area harvested,1983,ha,2530,
Colombia,Area harvested,1982,ha,3100,
Colombia,Area harvested,1981,ha,2920,
Colombia,Area harvested,1980,ha,2650,
Colombia,Area harvested,1979,ha,2100,F
Colombia,Area harvested,1978,ha,1900,F
Colombia,Area harvested,1977,ha,2200,F
Colombia,Area harvested,1976,ha,2235,
Colombia,Area harvested,1975,ha,2281,
Colombia,Area harvested,1974,ha,2760,
Colombia,Area harvested,1973,ha,2450,F
Colombia,Area harvested,1972,ha,2200,F
Colombia,Area harvested,1971,ha,2200,F
Colombia,Area harvested,1970,ha,2150,F
Colombia,Area harvested,1969,ha,2150,F
Colombia,Area harvested,1968,ha,2100,F
Colombia,Area harvested,1967,ha,2050,F
Colombia,Area harvested,1966,ha,2050,F
Colombia,Area harvested,1965,ha,1900,F
Colombia,Area harvested,1964,ha,1900,F
Colombia,Area harvested,1963,ha,1950,F
Colombia,Area harvested,1962,ha,1900,F
Colombia,Area harvested,1961,ha,1800,F
Colombia,Yield,2017,hg/ha,417389,Fc
Colombia,Yield,2016,hg/ha,418454,Fc
Colombia,Yield,2015,hg/ha,402554,Fc
Colombia,Yield,2014,hg/ha,431683,Fc
Colombia,Yield,2013,hg/ha,443784,Fc
Colombia,Yield,2012,hg/ha,378788,Fc
Colombia,Yield,2011,hg/ha,394575,Fc
Colombia,Yield,2010,hg/ha,393019,Fc
Colombia,Yield,2009,hg/ha,408678,Fc
Colombia,Yield,2008,hg/ha,408052,Fc
Colombia,Yield,2007,hg/ha,397198,Fc
Colombia,Yield,2006,hg/ha,399914,Fc
Colombia,Yield,2005,hg/ha,395985,Fc
Colombia,Yield,2004,hg/ha,407037,Fc
Colombia,Yield,2003,hg/ha,415783,Fc
Colombia,Yield,2002,hg/ha,412233,Fc
Colombia,Yield,2001,hg/ha,408298,Fc
Colombia,Yield,2000,hg/ha,399751,Fc
Colombia,Yield,1999,hg/ha,413107,Fc
Colombia,Yield,1998,hg/ha,426271,Fc
Colombia,Yield,1997,hg/ha,581031,Fc
Colombia,Yield,1996,hg/ha,616436,Fc
Colombia,Yield,1995,hg/ha,595385,Fc
Colombia,Yield,1994,hg/ha,528743,Fc
Colombia,Yield,1993,hg/ha,525342,Fc
Colombia,Yield,1992,hg/ha,561950,Fc
Colombia,Yield,1991,hg/ha,573225,Fc
Colombia,Yield,1990,hg/ha,439941,Fc
Colombia,Yield,1989,hg/ha,417910,Fc
Colombia,Yield,1988,hg/ha,416667,Fc
Colombia,Yield,1987,hg/ha,414545,Fc
Colombia,Yield,1986,hg/ha,407547,Fc
Colombia,Yield,1985,hg/ha,399211,Fc
