Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Area harvested,2017,ha,2514,Im
Colombia,Area harvested,2016,ha,2412,
Colombia,Area harvested,2015,ha,2214,
Colombia,Area harvested,2014,ha,2175,
Colombia,Area harvested,2013,ha,2254,
Colombia,Area harvested,2012,ha,2236,
Colombia,Area harvested,2011,ha,2253,
Colombia,Area harvested,2010,ha,2575,
Colombia,Area harvested,2009,ha,2579,
Colombia,Area harvested,2008,ha,2394,
Colombia,Area harvested,2007,ha,2378,
Colombia,Area harvested,2006,ha,2147,
Colombia,Area harvested,2005,ha,1958,
Colombia,Area harvested,2004,ha,1328,
Colombia,Area harvested,2003,ha,1394,
Colombia,Area harvested,2002,ha,1150,
Colombia,Area harvested,2001,ha,1247,
Colombia,Area harvested,2000,ha,1027,
Colombia,Area harvested,1999,ha,1229,
Colombia,Area harvested,1998,ha,1150,F
Colombia,Area harvested,1997,ha,1118,Im
Colombia,Area harvested,1996,ha,1249,Im
Colombia,Area harvested,1995,ha,1354,Im
Colombia,Area harvested,1994,ha,1350,Im
Colombia,Area harvested,1993,ha,1300,F
Colombia,Area harvested,1992,ha,1499,
Colombia,Area harvested,1991,ha,1499,
Colombia,Area harvested,1990,ha,1423,
Colombia,Area harvested,1989,ha,1466,
Colombia,Area harvested,1988,ha,1448,
Colombia,Area harvested,1987,ha,1393,
Colombia,Area harvested,1986,ha,1305,
Colombia,Area harvested,1985,ha,1450,
Colombia,Area harvested,1984,ha,1065,
Colombia,Area harvested,1983,ha,1240,
Colombia,Area harvested,1982,ha,1700,F
Colombia,Area harvested,1981,ha,1600,F
Colombia,Area harvested,1980,ha,1500,F
Colombia,Area harvested,1979,ha,1450,F
Colombia,Area harvested,1978,ha,1400,F
Colombia,Area harvested,1977,ha,1400,F
Colombia,Area harvested,1976,ha,1300,F
Colombia,Area harvested,1975,ha,1200,F
Colombia,Area harvested,1974,ha,1100,F
Colombia,Area harvested,1973,ha,1000,F
Colombia,Area harvested,1972,ha,900,F
Colombia,Area harvested,1971,ha,850,F
Colombia,Area harvested,1970,ha,800,F
Colombia,Area harvested,1969,ha,750,F
Colombia,Area harvested,1968,ha,700,F
Colombia,Area harvested,1967,ha,650,F
Colombia,Area harvested,1966,ha,600,F
Colombia,Area harvested,1965,ha,550,F
Colombia,Area harvested,1964,ha,500,F
Colombia,Area harvested,1963,ha,450,F
Colombia,Area harvested,1962,ha,450,F
Colombia,Area harvested,1961,ha,400,F
Colombia,Yield,2017,hg/ha,122213,Fc
Colombia,Yield,2016,hg/ha,120871,Fc
Colombia,Yield,2015,hg/ha,112708,Fc
Colombia,Yield,2014,hg/ha,112719,Fc
Colombia,Yield,2013,hg/ha,113719,Fc
Colombia,Yield,2012,hg/ha,111945,Fc
Colombia,Yield,2011,hg/ha,107204,Fc
Colombia,Yield,2010,hg/ha,145165,Fc
Colombia,Yield,2009,hg/ha,147829,Fc
Colombia,Yield,2008,hg/ha,156124,Fc
Colombia,Yield,2007,hg/ha,156535,Fc
Colombia,Yield,2006,hg/ha,151784,Fc
Colombia,Yield,2005,hg/ha,125695,Fc
Colombia,Yield,2004,hg/ha,151860,Fc
Colombia,Yield,2003,hg/ha,144914,Fc
Colombia,Yield,2002,hg/ha,126322,Fc
Colombia,Yield,2001,hg/ha,131419,Fc
Colombia,Yield,2000,hg/ha,118705,Fc
Colombia,Yield,1999,hg/ha,105867,Fc
Colombia,Yield,1998,hg/ha,104348,Fc
Colombia,Yield,1997,hg/ha,116554,Fc
Colombia,Yield,1996,hg/ha,118140,Fc
Colombia,Yield,1995,hg/ha,119586,Fc
Colombia,Yield,1994,hg/ha,122203,Fc
Colombia,Yield,1993,hg/ha,126615,Fc
Colombia,Yield,1992,hg/ha,151241,Fc
Colombia,Yield,1991,hg/ha,133656,Fc
Colombia,Yield,1990,hg/ha,111827,Fc
Colombia,Yield,1989,hg/ha,123950,Fc
Colombia,Yield,1988,hg/ha,143425,Fc
Colombia,Yield,1987,hg/ha,149074,Fc
Colombia,Yield,1986,hg/ha,134651,Fc
Colombia,Yield,1985,hg/ha,110000,Fc
Colombia,Yield,1984,hg/ha,110000,Fc
Colombia,Yield,1983,hg/ha,123871,Fc
Colombia,Yield,1982,hg/ha,124706,Fc
Colombia,Yield,1981,hg/ha,130000,Fc
Colombia,Yield,1980,hg/ha,120167,Fc
Colombia,Yield,1979,hg/ha,122690,Fc
Colombia,Yield,1978,hg/ha,118679,Fc
Colombia,Yield,1977,hg/ha,117257,Fc
Colombia,Yield,1976,hg/ha,115385,Fc
Colombia,Yield,1975,hg/ha,116667,Fc
Colombia,Yield,1974,hg/ha,109091,Fc
Colombia,Yield,1973,hg/ha,110000,Fc
Colombia,Yield,1972,hg/ha,111111,Fc
Colombia,Yield,1971,hg/ha,111765,Fc
Colombia,Yield,1970,hg/ha,112500,Fc
Colombia,Yield,1969,hg/ha,113333,Fc
Colombia,Yield,1968,hg/ha,114286,Fc
Colombia,Yield,1967,hg/ha,115385,Fc
Colombia,Yield,1966,hg/ha,116667,Fc
Colombia,Yield,1965,hg/ha,118182,Fc
Colombia,Yield,1964,hg/ha,120000,Fc
Colombia,Yield,1963,hg/ha,122222,Fc
Colombia,Yield,1962,hg/ha,111111,Fc
Colombia,Yield,1961,hg/ha,112500,Fc
Colombia,Production,2017,tonnes,30718,Im
Colombia,Production,2016,tonnes,29152,
Colombia,Production,2015,tonnes,24951,
Colombia,Production,2014,tonnes,24519,
Colombia,Production,2013,tonnes,25631,
Colombia,Production,2012,tonnes,25031,
Colombia,Production,2011,tonnes,24153,
Colombia,Production,2010,tonnes,37380,
Colombia,Production,2009,tonnes,38125,
Colombia,Production,2008,tonnes,37376,
Colombia,Production,2007,tonnes,37224,
Colombia,Production,2006,tonnes,32588,
Colombia,Production,2005,tonnes,24611,
Colombia,Production,2004,tonnes,20167,
Colombia,Production,2003,tonnes,20201,
Colombia,Production,2002,tonnes,14527,
Colombia,Production,2001,tonnes,16388,
Colombia,Production,2000,tonnes,12191,
Colombia,Production,1999,tonnes,13011,
Colombia,Production,1998,tonnes,12000,F
Colombia,Production,1997,tonnes,13033,Im
Colombia,Production,1996,tonnes,14753,Im
Colombia,Production,1995,tonnes,16190,Im
Colombia,Production,1994,tonnes,16500,F
Colombia,Production,1993,tonnes,16460,
Colombia,Production,1992,tonnes,22671,
Colombia,Production,1991,tonnes,20035,
Colombia,Production,1990,tonnes,15913,
Colombia,Production,1989,tonnes,18171,
Colombia,Production,1988,tonnes,20768,
Colombia,Production,1987,tonnes,20766,
Colombia,Production,1986,tonnes,17572,
Colombia,Production,1985,tonnes,15950,
Colombia,Production,1984,tonnes,11715,
Colombia,Production,1983,tonnes,15360,
Colombia,Production,1982,tonnes,21200,
Colombia,Production,1981,tonnes,20800,
Colombia,Production,1980,tonnes,18025,
Colombia,Production,1979,tonnes,17790,
Colombia,Production,1978,tonnes,16615,
Colombia,Production,1977,tonnes,16416,
Colombia,Production,1976,tonnes,15000,F
Colombia,Production,1975,tonnes,14000,F
Colombia,Production,1974,tonnes,12000,F
Colombia,Production,1973,tonnes,11000,F
Colombia,Production,1972,tonnes,10000,F
Colombia,Production,1971,tonnes,9500,F
Colombia,Production,1970,tonnes,9000,F
Colombia,Production,1969,tonnes,8500,F
Colombia,Production,1968,tonnes,8000,F
Colombia,Production,1967,tonnes,7500,F
Colombia,Production,1966,tonnes,7000,F
Colombia,Production,1965,tonnes,6500,F
Colombia,Production,1964,tonnes,6000,F
Colombia,Production,1963,tonnes,5500,F
Colombia,Production,1962,tonnes,5000,F
Colombia,Production,1961,tonnes,4500,F
,,,,,
fnSeqID,Footnote,,,,
*,Unofficial figure,,,,
F,FAO estimate,,,,
Fc,Calculated data,,,,
Im,FAO data based on imputation methodology,,,,
