Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Area,2016,1000 ha,114174.9,W
Colombia,Area,2015,1000 ha,114174.9,W
Colombia,Area,2014,1000 ha,114174.9,W
Colombia,Area,2013,1000 ha,114174.9,Q
Colombia,Area,2012,1000 ha,114174.8,Q
Colombia,Area,2011,1000 ha,114175,Q
Colombia,Area,2010,1000 ha,114175,Q
Colombia,Area,2009,1000 ha,114175,Q
Colombia,Area,2008,1000 ha,114175,Q
Colombia,Area,2007,1000 ha,114175,Q
Colombia,Area,2006,1000 ha,114175,Q
Colombia,Area,2005,1000 ha,114175,Q
Colombia,Area,2004,1000 ha,114175,Q
Colombia,Area,2003,1000 ha,114175,Q
Colombia,Area,2002,1000 ha,114175,Q
Colombia,Area,2001,1000 ha,114175,Q
Colombia,Area,2000,1000 ha,114175,Q
Colombia,Area,1999,1000 ha,114175,Q
Colombia,Area,1998,1000 ha,114175,Q
Colombia,Area,1997,1000 ha,114175,Q
Colombia,Area,1996,1000 ha,114175,Q
Colombia,Area,1995,1000 ha,114175,Q
Colombia,Area,1994,1000 ha,114175,Q
Colombia,Area,1993,1000 ha,114175,Q
Colombia,Area,1992,1000 ha,114175,Q
Colombia,Area,1991,1000 ha,114175,Q
Colombia,Area,1990,1000 ha,114175,Q
Colombia,Area,1989,1000 ha,114175,Q
Colombia,Area,1988,1000 ha,114175,Q
Colombia,Area,1987,1000 ha,114175,Q
Colombia,Area,1986,1000 ha,114175,Q
Colombia,Area,1985,1000 ha,114175,Q
Colombia,Area,1984,1000 ha,114175,Q
Colombia,Area,1983,1000 ha,114175,Q
Colombia,Area,1982,1000 ha,114175,Q
Colombia,Area,1981,1000 ha,114175,Q
Colombia,Area,1980,1000 ha,114175,Q
Colombia,Area,1979,1000 ha,114175,Q
Colombia,Area,1978,1000 ha,114175,Q
Colombia,Area,1977,1000 ha,114175,Q
Colombia,Area,1976,1000 ha,114175,Q
Colombia,Area,1975,1000 ha,114175,Q
Colombia,Area,1974,1000 ha,114175,Q
Colombia,Area,1973,1000 ha,114175,Q
Colombia,Area,1972,1000 ha,114175,Q
Colombia,Area,1971,1000 ha,114175,Q
Colombia,Area,1970,1000 ha,114175,Q
Colombia,Area,1969,1000 ha,114175,Q
Colombia,Area,1968,1000 ha,114175,Q
Colombia,Area,1967,1000 ha,114175,Q
Colombia,Area,1966,1000 ha,114175,Q
Colombia,Area,1965,1000 ha,114175,Q
Colombia,Area,1964,1000 ha,114175,Q
Colombia,Area,1963,1000 ha,114175,Q
Colombia,Area,1962,1000 ha,114175,Q
Colombia,Area,1961,1000 ha,114175,Q
,,,,,
fnSeqID,Footnote,,,,
Q,Official data reported on FAO Questionnaires from countries,,,,
W,Data reported on country official publications or web sites (Official) or trade country files,,,,
