Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Area harvested,2017,ha,17548,Im
Colombia,Area harvested,2016,ha,18064,
Colombia,Area harvested,2015,ha,17684,
Colombia,Area harvested,2014,ha,17613,
Colombia,Area harvested,2013,ha,16171,
Colombia,Area harvested,2012,ha,16708,
Colombia,Area harvested,2011,ha,15737,
Colombia,Area harvested,2010,ha,14043,Im
Colombia,Area harvested,2009,ha,13700,F
Colombia,Area harvested,2008,ha,15500,F
Colombia,Area harvested,2007,ha,16000,F
Colombia,Area harvested,2006,ha,16500,F
Colombia,Area harvested,2005,ha,15343,
Colombia,Area harvested,2004,ha,14850,
Colombia,Area harvested,2003,ha,13114,
Colombia,Area harvested,2002,ha,12040,
Colombia,Area harvested,2001,ha,11711,
Colombia,Area harvested,2000,ha,14076,
Colombia,Area harvested,1999,ha,13933,
Colombia,Area harvested,1998,ha,10916,
Colombia,Area harvested,1997,ha,12554,
Colombia,Area harvested,1996,ha,11893,
Colombia,Area harvested,1995,ha,9987,
Colombia,Area harvested,1994,ha,11043,
Colombia,Area harvested,1993,ha,10028,
Colombia,Area harvested,1992,ha,10709,
Colombia,Area harvested,1991,ha,17916,
Colombia,Area harvested,1990,ha,15500,F
Colombia,Area harvested,1989,ha,12000,F
Colombia,Area harvested,1988,ha,12500,F
Colombia,Area harvested,1987,ha,12500,F
Colombia,Area harvested,1986,ha,12500,F
Colombia,Area harvested,1985,ha,12500,F
Colombia,Yield,2017,hg/ha,73460,Fc
Colombia,Yield,2016,hg/ha,75236,Fc
Colombia,Yield,2015,hg/ha,73888,Fc
Colombia,Yield,2014,hg/ha,73601,Fc
Colombia,Yield,2013,hg/ha,70936,Fc
Colombia,Yield,2012,hg/ha,68583,Fc
Colombia,Yield,2011,hg/ha,71411,Fc
Colombia,Yield,2010,hg/ha,71995,Fc
Colombia,Yield,2009,hg/ha,70073,Fc
Colombia,Yield,2008,hg/ha,70419,Fc
Colombia,Yield,2007,hg/ha,68750,Fc
Colombia,Yield,2006,hg/ha,70048,Fc
Colombia,Yield,2005,hg/ha,70343,Fc
Colombia,Yield,2004,hg/ha,69402,Fc
Colombia,Yield,2003,hg/ha,79950,Fc
Colombia,Yield,2002,hg/ha,79613,Fc
Colombia,Yield,2001,hg/ha,84649,Fc
