Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Area harvested,2017,ha,6184,Im
Colombia,Area harvested,2016,ha,5985,
Colombia,Area harvested,2015,ha,5332,
Colombia,Area harvested,2014,ha,4820,
Colombia,Area harvested,2013,ha,4843,
Colombia,Area harvested,2012,ha,4889,
Colombia,Area harvested,2011,ha,4968,
Colombia,Area harvested,2010,ha,4928,
Colombia,Area harvested,2009,ha,5565,
Colombia,Area harvested,2008,ha,5498,
Colombia,Area harvested,2007,ha,6064,
Colombia,Area harvested,2006,ha,5721,
Colombia,Area harvested,2005,ha,5152,
Colombia,Area harvested,2004,ha,4464,
Colombia,Area harvested,2003,ha,4078,
Colombia,Area harvested,2002,ha,3715,
Colombia,Area harvested,2001,ha,4416,
Colombia,Area harvested,2000,ha,4496,
Colombia,Area harvested,1999,ha,4728,
Colombia,Area harvested,1998,ha,4172,Im
Colombia,Area harvested,1997,ha,3352,Im
Colombia,Area harvested,1996,ha,2661,Im
Colombia,Area harvested,1995,ha,2300,F
Colombia,Area harvested,1994,ha,2250,F
Colombia,Area harvested,1993,ha,2200,F
Colombia,Area harvested,1992,ha,2187,
Colombia,Area harvested,1991,ha,2463,
Colombia,Area harvested,1990,ha,1452,
Colombia,Area harvested,1989,ha,2000,F
Colombia,Area harvested,1988,ha,1800,F
Colombia,Area harvested,1987,ha,1500,F
Colombia,Area harvested,1986,ha,1320,F
Colombia,Area harvested,1985,ha,1360,F
Colombia,Area harvested,1984,ha,1100,F
Colombia,Area harvested,1983,ha,1400,
Colombia,Area harvested,1982,ha,1500,
Colombia,Area harvested,1981,ha,1600,F
Colombia,Area harvested,1980,ha,1780,
Colombia,Area harvested,1979,ha,1900,F
Colombia,Area harvested,1978,ha,1700,F
Colombia,Area harvested,1977,ha,1450,F
Colombia,Area harvested,1976,ha,1100,F
Colombia,Area harvested,1975,ha,1500,F
Colombia,Area harvested,1974,ha,1400,F
Colombia,Area harvested,1973,ha,1300,F
Colombia,Area harvested,1972,ha,1200,F
Colombia,Area harvested,1971,ha,1100,F
Colombia,Area harvested,1970,ha,1100,F
Colombia,Area harvested,1969,ha,1100,F
Colombia,Area harvested,1968,ha,800,F
Colombia,Area harvested,1967,ha,800,F
Colombia,Area harvested,1966,ha,780,F
Colombia,Area harvested,1965,ha,780,F
Colombia,Area harvested,1964,ha,760,F
Colombia,Area harvested,1963,ha,760,F
Colombia,Area harvested,1962,ha,740,F
Colombia,Area harvested,1961,ha,740,F
Colombia,Yield,2017,hg/ha,291049,Fc
Colombia,Yield,2016,hg/ha,296511,Fc
Colombia,Yield,2015,hg/ha,330505,Fc
Colombia,Yield,2014,hg/ha,322209,Fc
Colombia,Yield,2013,hg/ha,345950,Fc
Colombia,Yield,2012,hg/ha,339135,Fc
Colombia,Yield,2011,hg/ha,308213,Fc
Colombia,Yield,2010,hg/ha,319846,Fc
Colombia,Yield,2009,hg/ha,334056,Fc
Colombia,Yield,2008,hg/ha,377770,Fc
Colombia,Yield,2007,hg/ha,369302,Fc
Colombia,Yield,2006,hg/ha,287722,Fc
Colombia,Yield,2005,hg/ha,272411,Fc
Colombia,Yield,2004,hg/ha,232684,Fc
Colombia,Yield,2003,hg/ha,224640,Fc
Colombia,Yield,2002,hg/ha,233949,Fc
Colombia,Yield,2001,hg/ha,250824,Fc
Colombia,Yield,2000,hg/ha,250505,Fc
Colombia,Yield,1999,hg/ha,244027,Fc
Colombia,Yield,1998,hg/ha,251783,Fc
Colombia,Yield,1997,hg/ha,263923,Fc
Colombia,Yield,1996,hg/ha,273397,Fc
Colombia,Yield,1995,hg/ha,278261,Fc
Colombia,Yield,1994,hg/ha,280000,Fc
Colombia,Yield,1993,hg/ha,281991,Fc
Colombia,Yield,1992,hg/ha,337531,Fc
Colombia,Yield,1991,hg/ha,288774,Fc
Colombia,Yield,1990,hg/ha,276315,Fc
Colombia,Yield,1989,hg/ha,399580,Fc
Colombia,Yield,1988,hg/ha,395583,Fc
Colombia,Yield,1987,hg/ha,387580,Fc
Colombia,Yield,1986,hg/ha,368348,Fc
Colombia,Yield,1985,hg/ha,387500,Fc
Colombia,Yield,1984,hg/ha,379764,Fc
Colombia,Yield,1983,hg/ha,362857,Fc
Colombia,Yield,1982,hg/ha,400000,Fc
Colombia,Yield,1981,hg/ha,343750,Fc
Colombia,Yield,1980,hg/ha,365393,Fc
Colombia,Yield,1979,hg/ha,340632,Fc
Colombia,Yield,1978,hg/ha,341647,Fc
Colombia,Yield,1977,hg/ha,346759,Fc
