Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Area harvested,2017,ha,21043,Im
Colombia,Area harvested,2016,ha,20295,
Colombia,Area harvested,2015,ha,16575,
Colombia,Area harvested,2014,ha,16388,
Colombia,Area harvested,2013,ha,16724,
Colombia,Area harvested,2012,ha,16660,
Colombia,Area harvested,2011,ha,15181,
Colombia,Area harvested,2010,ha,13943,
Colombia,Area harvested,2009,ha,15330,
Colombia,Area harvested,2008,ha,16736,
Colombia,Area harvested,2007,ha,15783,
Colombia,Area harvested,2006,ha,16953,
Colombia,Area harvested,2005,ha,14908,
Colombia,Area harvested,2004,ha,15456,
Colombia,Area harvested,2003,ha,15202,
Colombia,Area harvested,2002,ha,16762,
Colombia,Area harvested,2001,ha,16515,
Colombia,Area harvested,2000,ha,17264,
Colombia,Area harvested,1999,ha,16942,
Colombia,Area harvested,1998,ha,15000,F
Colombia,Area harvested,1997,ha,14000,F
Colombia,Area harvested,1996,ha,13500,F
Colombia,Area harvested,1995,ha,12800,F
Colombia,Area harvested,1994,ha,12841,
Colombia,Area harvested,1993,ha,12968,
Colombia,Area harvested,1992,ha,14000,F
Colombia,Area harvested,1991,ha,14774,
Colombia,Area harvested,1990,ha,23400,
Colombia,Area harvested,1989,ha,22000,
Colombia,Area harvested,1988,ha,15947,
Colombia,Area harvested,1987,ha,14305,
Colombia,Area harvested,1986,ha,13623,
Colombia,Area harvested,1985,ha,14550,
Colombia,Area harvested,1984,ha,14300,
Colombia,Area harvested,1983,ha,14140,
Colombia,Area harvested,1982,ha,14750,
Colombia,Area harvested,1981,ha,14600,
Colombia,Area harvested,1980,ha,14420,
Colombia,Area harvested,1979,ha,14300,
Colombia,Area harvested,1978,ha,14200,
Colombia,Area harvested,1977,ha,14100,
Colombia,Area harvested,1976,ha,13800,
Colombia,Area harvested,1975,ha,9600,
Colombia,Area harvested,1974,ha,12045,
Colombia,Area harvested,1973,ha,12000,F
Colombia,Area harvested,1972,ha,13200,
Colombia,Area harvested,1971,ha,12500,
Colombia,Area harvested,1970,ha,12000,
Colombia,Area harvested,1969,ha,11700,F
Colombia,Area harvested,1968,ha,11600,F
Colombia,Area harvested,1967,ha,11500,F
Colombia,Area harvested,1966,ha,11200,F
Colombia,Area harvested,1965,ha,3000,F
Colombia,Area harvested,1964,ha,2900,F
Colombia,Area harvested,1963,ha,2700,F
Colombia,Area harvested,1962,ha,2670,F
Colombia,Area harvested,1961,ha,2590,F
Colombia,Yield,2017,hg/ha,339458,Fc
Colombia,Yield,2016,hg/ha,340245,Fc
Colombia,Yield,2015,hg/ha,375973,Fc
Colombia,Yield,2014,hg/ha,369881,Fc
Colombia,Yield,2013,hg/ha,410350,Fc
Colombia,Yield,2012,hg/ha,395978,Fc
Colombia,Yield,2011,hg/ha,392128,Fc
Colombia,Yield,2010,hg/ha,367863,Fc
Colombia,Yield,2009,hg/ha,336091,Fc
Colombia,Yield,2008,hg/ha,293337,Fc
Colombia,Yield,2007,hg/ha,300524,Fc
Colombia,Yield,2006,hg/ha,261657,Fc
Colombia,Yield,2005,hg/ha,281769,Fc
Colombia,Yield,2004,hg/ha,260652,Fc
Colombia,Yield,2003,hg/ha,258728,Fc
Colombia,Yield,2002,hg/ha,245288,Fc
Colombia,Yield,2001,hg/ha,241193,Fc
Colombia,Yield,2000,hg/ha,217263,Fc
Colombia,Yield,1999,hg/ha,212310,Fc
Colombia,Yield,1998,hg/ha,186667,Fc
Colombia,Yield,1997,hg/ha,214286,Fc
