Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Area harvested,2017,ha,1559,Im
Colombia,Area harvested,2016,ha,1589,
Colombia,Area harvested,2015,ha,1503,
Colombia,Area harvested,2014,ha,1311,
Colombia,Area harvested,2013,ha,1200,
Colombia,Area harvested,2012,ha,1075,
Colombia,Area harvested,2011,ha,1134,
Colombia,Area harvested,2010,ha,1306,
Colombia,Area harvested,2009,ha,1168,
Colombia,Area harvested,2008,ha,1099,
Colombia,Area harvested,2007,ha,1308,
Colombia,Area harvested,2006,ha,916,
Colombia,Area harvested,2005,ha,598,
Colombia,Area harvested,2004,ha,785,
Colombia,Area harvested,2003,ha,702,
Colombia,Area harvested,2002,ha,779,
Colombia,Area harvested,2001,ha,736,
Colombia,Area harvested,2000,ha,629,
Colombia,Area harvested,1999,ha,552,
Colombia,Area harvested,1998,ha,600,F
Colombia,Area harvested,1997,ha,700,F
Colombia,Area harvested,1996,ha,1090,
Colombia,Area harvested,1995,ha,1090,
Colombia,Area harvested,1994,ha,1030,
Colombia,Area harvested,1993,ha,1000,F
Colombia,Area harvested,1992,ha,950,F
Colombia,Area harvested,1991,ha,930,F
Colombia,Area harvested,1990,ha,820,F
Colombia,Area harvested,1989,ha,650,F
Colombia,Area harvested,1988,ha,500,F
Colombia,Area harvested,1987,ha,400,F
Colombia,Area harvested,1986,ha,250,F
Colombia,Yield,2017,hg/ha,376847,Fc
Colombia,Yield,2016,hg/ha,359830,Fc
Colombia,Yield,2015,hg/ha,370668,Fc
Colombia,Yield,2014,hg/ha,342144,Fc
Colombia,Yield,2013,hg/ha,353880,Fc
Colombia,Yield,2012,hg/ha,405146,Fc
Colombia,Yield,2011,hg/ha,397037,Fc
Colombia,Yield,2010,hg/ha,331202,Fc
Colombia,Yield,2009,hg/ha,417029,Fc
Colombia,Yield,2008,hg/ha,399636,Fc
Colombia,Yield,2007,hg/ha,311239,Fc
Colombia,Yield,2006,hg/ha,358996,Fc
Colombia,Yield,2005,hg/ha,299548,Fc
Colombia,Yield,2004,hg/ha,295898,Fc
Colombia,Yield,2003,hg/ha,378789,Fc
Colombia,Yield,2002,hg/ha,299897,Fc
Colombia,Yield,2001,hg/ha,311603,Fc
Colombia,Yield,2000,hg/ha,304324,Fc
Colombia,Yield,1999,hg/ha,285036,Fc
Colombia,Yield,1998,hg/ha,242216,Fc
Colombia,Yield,1997,hg/ha,218571,Fc
Colombia,Yield,1996,hg/ha,140000,Fc
Colombia,Yield,1995,hg/ha,136147,Fc
Colombia,Yield,1994,hg/ha,139806,Fc
Colombia,Yield,1993,hg/ha,140000,Fc
Colombia,Yield,1992,hg/ha,142105,Fc
Colombia,Yield,1991,hg/ha,139785,Fc
Colombia,Yield,1990,hg/ha,134146,Fc
Colombia,Yield,1989,hg/ha,138462,Fc
Colombia,Yield,1988,hg/ha,140000,Fc
Colombia,Yield,1987,hg/ha,125000,Fc
Colombia,Yield,1986,hg/ha,120000,Fc
Colombia,Production,2017,tonnes,58751,Im
Colombia,Production,2016,tonnes,57172,
Colombia,Production,2015,tonnes,55719,
Colombia,Production,2014,tonnes,44844,
Colombia,Production,2013,tonnes,42451,
Colombia,Production,2012,tonnes,43537,
Colombia,Production,2011,tonnes,45024,
Colombia,Production,2010,tonnes,43255,
Colombia,Production,2009,tonnes,48709,
Colombia,Production,2008,tonnes,43920,
Colombia,Production,2007,tonnes,40710,
Colombia,Production,2006,tonnes,32884,
Colombia,Production,2005,tonnes,17913,
Colombia,Production,2004,tonnes,23228,
Colombia,Production,2003,tonnes,26591,
Colombia,Production,2002,tonnes,23362,
Colombia,Production,2001,tonnes,22934,
Colombia,Production,2000,tonnes,19142,
Colombia,Production,1999,tonnes,15734,
Colombia,Production,1998,tonnes,14533,Im
Colombia,Production,1997,tonnes,15300,F
Colombia,Production,1996,tonnes,15260,
Colombia,Production,1995,tonnes,14840,
Colombia,Production,1994,tonnes,14400,
Colombia,Production,1993,tonnes,14000,
Colombia,Production,1992,tonnes,13500,F
Colombia,Production,1991,tonnes,13000,F
Colombia,Production,1990,tonnes,11000,F
Colombia,Production,1989,tonnes,9000,F
Colombia,Production,1988,tonnes,7000,F
Colombia,Production,1987,tonnes,5000,F
Colombia,Production,1986,tonnes,3000,F
,,,,,
fnSeqID,Footnote,,,,
*,Unofficial figure,,,,
F,FAO estimate,,,,
Fc,Calculated data,,,,
Im,FAO data based on imputation methodology,,,,
