Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Food supply quantity (tonnes),2013,tonnes,510087,S
Colombia,Food supply quantity (tonnes),2012,tonnes,194409,S
Colombia,Food supply quantity (tonnes),2011,tonnes,178322,S
Colombia,Food supply quantity (tonnes),2010,tonnes,291870,S
Colombia,Food supply quantity (tonnes),2009,tonnes,121903,S
Colombia,Food supply quantity (tonnes),2008,tonnes,256969,S
Colombia,Food supply quantity (tonnes),2007,tonnes,149708,S
Colombia,Food supply quantity (tonnes),2006,tonnes,261969,S
Colombia,Food supply quantity (tonnes),2005,tonnes,146673,S
Colombia,Food supply quantity (tonnes),2004,tonnes,201031,S
Colombia,Food supply quantity (tonnes),2003,tonnes,196721,S
Colombia,Food supply quantity (tonnes),2002,tonnes,75701,S
Colombia,Food supply quantity (tonnes),2001,tonnes,102331,S
Colombia,Food supply quantity (tonnes),2000,tonnes,99000,S
Colombia,Food supply quantity (tonnes),1999,tonnes,34108,S
Colombia,Food supply quantity (tonnes),1998,tonnes,99464,S
Colombia,Food supply quantity (tonnes),1997,tonnes,39278,S
Colombia,Food supply quantity (tonnes),1996,tonnes,32687,S
Colombia,Food supply quantity (tonnes),1995,tonnes,289769,S
Colombia,Food supply quantity (tonnes),1994,tonnes,261090,S
Colombia,Food supply quantity (tonnes),1993,tonnes,318174,S
Colombia,Food supply quantity (tonnes),1992,tonnes,301493,S
Colombia,Food supply quantity (tonnes),1991,tonnes,17923,S
Colombia,Food supply quantity (tonnes),1990,tonnes,70674,S
Colombia,Food supply quantity (tonnes),1989,tonnes,231723,S
Colombia,Food supply quantity (tonnes),1988,tonnes,222813,S
Colombia,Food supply quantity (tonnes),1987,tonnes,158464,S
Colombia,Food supply quantity (tonnes),1986,tonnes,25370,S
Colombia,Food supply quantity (tonnes),1985,tonnes,116963,S
Colombia,Food supply quantity (tonnes),1984,tonnes,59837,S
Colombia,Food supply quantity (tonnes),1983,tonnes,100626,S
Colombia,Food supply quantity (tonnes),1982,tonnes,66870,S
Colombia,Food supply quantity (tonnes),1981,tonnes,32306,S
Colombia,Food supply quantity (tonnes),1980,tonnes,80892,S
Colombia,Food supply quantity (tonnes),1979,tonnes,153585,S
Colombia,Food supply quantity (tonnes),1978,tonnes,165155,S
Colombia,Food supply quantity (tonnes),1977,tonnes,332021,S
Colombia,Food supply quantity (tonnes),1976,tonnes,338196,S
Colombia,Food supply quantity (tonnes),1975,tonnes,415764,S
Colombia,Food supply quantity (tonnes),1974,tonnes,379171,S
Colombia,Food supply quantity (tonnes),1973,tonnes,460636,S
Colombia,Food supply quantity (tonnes),1972,tonnes,408224,S
Colombia,Food supply quantity (tonnes),1971,tonnes,373538,S
