Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Area harvested,2017,ha,17753,Im
Colombia,Area harvested,2016,ha,19456,
Colombia,Area harvested,2015,ha,17305,
Colombia,Area harvested,2014,ha,15630,
Colombia,Area harvested,2013,ha,15656,
Colombia,Area harvested,2012,ha,14336,
Colombia,Area harvested,2011,ha,16333,
Colombia,Area harvested,2010,ha,14659,
Colombia,Area harvested,2009,ha,13806,
Colombia,Area harvested,2008,ha,22000,F
Colombia,Area harvested,2007,ha,32461,
Colombia,Area harvested,2006,ha,29527,
Colombia,Area harvested,2005,ha,7183,
Colombia,Area harvested,2004,ha,6937,
Colombia,Area harvested,2003,ha,5914,
Colombia,Area harvested,2002,ha,25571,
Colombia,Area harvested,2001,ha,29629,
Colombia,Area harvested,2000,ha,30552,
Colombia,Area harvested,1999,ha,25000,F
Colombia,Area harvested,1998,ha,23000,F
Colombia,Area harvested,1997,ha,25500,F
Colombia,Area harvested,1996,ha,21200,
Colombia,Area harvested,1995,ha,20600,
Colombia,Area harvested,1994,ha,18300,
Colombia,Area harvested,1993,ha,17000,F
Colombia,Area harvested,1992,ha,12350,
Colombia,Area harvested,1991,ha,11957,
Colombia,Area harvested,1990,ha,7408,
Colombia,Area harvested,1989,ha,19500,F
Colombia,Area harvested,1988,ha,18700,F
Colombia,Area harvested,1987,ha,18200,
Colombia,Area harvested,1986,ha,17640,
Colombia,Area harvested,1985,ha,13670,
Colombia,Area harvested,1984,ha,13416,
Colombia,Area harvested,1983,ha,13162,
Colombia,Area harvested,1982,ha,12812,
Colombia,Area harvested,1981,ha,13310,
Colombia,Area harvested,1980,ha,12400,
Colombia,Area harvested,1979,ha,12275,
Colombia,Area harvested,1978,ha,10800,F
Colombia,Area harvested,1977,ha,10700,F
Colombia,Area harvested,1976,ha,10700,F
Colombia,Area harvested,1975,ha,7000,F
Colombia,Area harvested,1974,ha,6300,F
Colombia,Area harvested,1973,ha,6100,F
Colombia,Area harvested,1972,ha,5900,F
Colombia,Area harvested,1971,ha,5800,F
Colombia,Area harvested,1970,ha,5700,F
Colombia,Area harvested,1969,ha,5600,F
Colombia,Area harvested,1968,ha,5500,F
Colombia,Area harvested,1967,ha,5400,F
Colombia,Area harvested,1966,ha,5400,F
Colombia,Area harvested,1965,ha,5400,F
Colombia,Area harvested,1964,ha,5300,F
Colombia,Area harvested,1963,ha,5200,F
Colombia,Area harvested,1962,ha,5100,F
Colombia,Area harvested,1961,ha,5000,F
Colombia,Yield,2017,hg/ha,153970,Fc
Colombia,Yield,2016,hg/ha,151567,Fc
Colombia,Yield,2015,hg/ha,155299,Fc
Colombia,Yield,2014,hg/ha,149292,Fc
Colombia,Yield,2013,hg/ha,156658,Fc
Colombia,Yield,2012,hg/ha,159897,Fc
Colombia,Yield,2011,hg/ha,159623,Fc
Colombia,Yield,2010,hg/ha,155624,Fc
Colombia,Yield,2009,hg/ha,140695,Fc
Colombia,Yield,2008,hg/ha,120000,Fc
Colombia,Yield,2007,hg/ha,108741,Fc
Colombia,Yield,2006,hg/ha,137203,Fc
Colombia,Yield,2005,hg/ha,133898,Fc
Colombia,Yield,2004,hg/ha,127348,Fc
Colombia,Yield,2003,hg/ha,116948,Fc
Colombia,Yield,2002,hg/ha,116523,Fc
Colombia,Yield,2001,hg/ha,80200,Fc
Colombia,Yield,2000,hg/ha,115507,Fc
Colombia,Yield,1999,hg/ha,135910,Fc
Colombia,Yield,1998,hg/ha,130435,Fc
Colombia,Yield,1997,hg/ha,165122,Fc
Colombia,Yield,1996,hg/ha,191981,Fc
Colombia,Yield,1995,hg/ha,192000,Fc
Colombia,Yield,1994,hg/ha,205313,Fc
Colombia,Yield,1993,hg/ha,194118,Fc
Colombia,Yield,1992,hg/ha,207496,Fc
Colombia,Yield,1991,hg/ha,194596,Fc
Colombia,Yield,1990,hg/ha,217268,Fc
Colombia,Yield,1989,hg/ha,181960,Fc
Colombia,Yield,1988,hg/ha,178243,Fc
Colombia,Yield,1987,hg/ha,172702,Fc
Colombia,Yield,1986,hg/ha,169017,Fc
Colombia,Yield,1985,hg/ha,175567,Fc
Colombia,Yield,1984,hg/ha,170671,Fc
Colombia,Yield,1983,hg/ha,190017,Fc
Colombia,Yield,1982,hg/ha,180003,Fc
Colombia,Yield,1981,hg/ha,190000,Fc
Colombia,Yield,1980,hg/ha,181532,Fc
Colombia,Yield,1979,hg/ha,179796,Fc
Colombia,Yield,1978,hg/ha,177837,Fc
Colombia,Yield,1977,hg/ha,177615,Fc
Colombia,Yield,1976,hg/ha,176748,Fc
Colombia,Yield,1975,hg/ha,167683,Fc
Colombia,Yield,1974,hg/ha,166667,Fc
Colombia,Yield,1973,hg/ha,163934,Fc
Colombia,Yield,1972,hg/ha,161017,Fc
Colombia,Yield,1971,hg/ha,160345,Fc
Colombia,Yield,1970,hg/ha,159649,Fc
Colombia,Yield,1969,hg/ha,158929,Fc
Colombia,Yield,1968,hg/ha,158182,Fc
Colombia,Yield,1967,hg/ha,153704,Fc
Colombia,Yield,1966,hg/ha,150000,Fc
Colombia,Yield,1965,hg/ha,148148,Fc
Colombia,Yield,1964,hg/ha,147170,Fc
Colombia,Yield,1963,hg/ha,144231,Fc
Colombia,Yield,1962,hg/ha,141176,Fc
Colombia,Yield,1961,hg/ha,136000,Fc
Colombia,Production,2017,tonnes,273346,Im
Colombia,Production,2016,tonnes,294895,
Colombia,Production,2015,tonnes,268750,
Colombia,Production,2014,tonnes,233342,
Colombia,Production,2013,tonnes,245267,
Colombia,Production,2012,tonnes,229229,
Colombia,Production,2011,tonnes,260715,
Colombia,Production,2010,tonnes,228129,
Colombia,Production,2009,tonnes,194243,
Colombia,Production,2008,tonnes,264000,F
Colombia,Production,2007,tonnes,352983,
Colombia,Production,2006,tonnes,405120,
Colombia,Production,2005,tonnes,96179,
Colombia,Production,2004,tonnes,88341,
Colombia,Production,2003,tonnes,69163,
Colombia,Production,2002,tonnes,297962,
Colombia,Production,2001,tonnes,237624,
Colombia,Production,2000,tonnes,352897,
Colombia,Production,1999,tonnes,339776,
Colombia,Production,1998,tonnes,300000,F
Colombia,Production,1997,tonnes,421060,
Colombia,Production,1996,tonnes,407000,
Colombia,Production,1995,tonnes,395520,
Colombia,Production,1994,tonnes,375723,
Colombia,Production,1993,tonnes,330000,F
Colombia,Production,1992,tonnes,256257,
Colombia,Production,1991,tonnes,232679,
Colombia,Production,1990,tonnes,160952,
Colombia,Production,1989,tonnes,354822,
Colombia,Production,1988,tonnes,333315,
Colombia,Production,1987,tonnes,314318,
Colombia,Production,1986,tonnes,298146,
Colombia,Production,1985,tonnes,240000,
Colombia,Production,1984,tonnes,228972,
Colombia,Production,1983,tonnes,250100,
Colombia,Production,1982,tonnes,230620,
Colombia,Production,1981,tonnes,252890,
Colombia,Production,1980,tonnes,225100,
Colombia,Production,1979,tonnes,220700,
Colombia,Production,1978,tonnes,192064,
Colombia,Production,1977,tonnes,190048,
Colombia,Production,1976,tonnes,189120,
Colombia,Production,1975,tonnes,117378,
Colombia,Production,1974,tonnes,105000,F
Colombia,Production,1973,tonnes,100000,F
Colombia,Production,1972,tonnes,95000,F
Colombia,Production,1971,tonnes,93000,F
Colombia,Production,1970,tonnes,91000,F
Colombia,Production,1969,tonnes,89000,F
Colombia,Production,1968,tonnes,87000,F
Colombia,Production,1967,tonnes,83000,F
Colombia,Production,1966,tonnes,81000,F
Colombia,Production,1965,tonnes,80000,F
Colombia,Production,1964,tonnes,78000,F
Colombia,Production,1963,tonnes,75000,F
Colombia,Production,1962,tonnes,72000,F
Colombia,Production,1961,tonnes,68000,F
,,,,,
fnSeqID,Footnote,,,,
*,Unofficial figure,,,,
F,FAO estimate,,,,
